# .test .cputime .temperature .time_mat1 .time_mat2
152 0.118949  2.435 0.000807 0.000872
153 0.121864  4.383 0.000714 0.000931
154 0.121386  4.870 0.000746 0.000948
155 0.122455  3.896 0.000734 0.000992
156 0.121560  4.870 0.000765 0.000992
157 0.122105  3.409 0.000752 0.000989
158 0.123421  2.922 0.000862 0.000945
159 0.125343  3.896 0.000823 0.000982
160 0.125182  2.922 0.000802 0.001023
161 0.126833  3.896 0.000866 0.001007
162 0.127799  4.870 0.000823 0.001019
163 0.129112  3.409 0.000828 0.001015
164 0.128788  3.409 0.000928 0.001016
165 0.128911  3.409 0.000847 0.001103
166 0.129833  3.896 0.000860 0.001100
167 0.131145  2.922 0.000924 0.001054
168 0.132928  3.896 0.000930 0.001068
169 0.132466  3.409 0.000887 0.001088
170 0.134938  3.409 0.000905 0.001180
171 0.135244  3.896 0.000912 0.001136
172 0.145522  4.383 0.000973 0.001333
173 0.137259  4.383 0.000938 0.001134
174 0.135453  4.383 0.000947 0.001189
175 0.137168  4.383 0.000959 0.001190
176 0.140393  3.896 0.000966 0.001174
177 0.140665  4.383 0.001044 0.001185
178 0.139595  3.896 0.000987 0.001257
179 0.142000  4.383 0.001002 0.001282
180 0.143440  2.922 0.001008 0.001230
181 0.143969  4.870 0.001084 0.001246
182 0.143624  4.870 0.001058 0.001464
183 0.144246  3.409 0.001052 0.001283
184 0.146275  3.896 0.001039 0.001289
185 0.146439  4.870 0.001078 0.001403
186 0.146447  4.383 0.001117 0.001359
187 0.149025  4.383 0.001161 0.001372
188 0.148343  4.383 0.001084 0.001428
189 0.149368  4.870 0.001118 0.001434
190 0.151848  4.383 0.001105 0.001378
191 0.154448  3.409 0.001148 0.001480
192 0.151086  4.383 0.001129 0.001411
193 0.152231  4.870 0.001215 0.001431
194 0.152127  5.357 0.001154 0.001505
195 0.154798  3.896 0.001264 0.001465
196 0.155955  4.383 0.001230 0.001523
197 0.157627  4.383 0.001318 0.001498
198 0.157168  3.896 0.001270 0.001550
199 0.158571  4.383 0.001242 0.001591
200 0.160037  4.870 0.001226 0.001534
201 0.158981  4.870 0.001265 0.001643
202 0.158922  4.383 0.001250 0.001580
203 0.161412  4.870 0.001293 0.001660
204 0.169042  4.383 0.001273 0.001713
205 0.177149  4.870 0.001316 0.001700
206 0.163876  4.870 0.001300 0.001672
207 0.164552  5.357 0.001343 0.001690
208 0.166058  4.383 0.001327 0.001769
209 0.166804  5.357 0.001372 0.001690
210 0.166574  4.383 0.001357 0.001776
211 0.176773  4.383 0.001453 0.001731
212 0.170066  4.383 0.001396 0.001743
213 0.168921  5.357 0.001422 0.001774
214 0.172560  4.870 0.001425 0.001787
215 0.173332  4.383 0.001445 0.001850
216 0.173807  4.870 0.001497 0.001823
217 0.176228  4.870 0.001519 0.001837
218 0.175449  5.357 0.001476 0.001957
219 0.178024  4.870 0.001551 0.002000
220 0.176300  4.383 0.001558 0.001958
221 0.179225  4.870 0.001571 0.001972
222 0.178766  5.357 0.001533 0.001996
223 0.179852  4.870 0.001548 0.002005
224 0.180113  4.383 0.001566 0.002028
225 0.182820  4.383 0.001635 0.002057
226 0.182194  4.383 0.001593 0.002332
227 0.183157  4.870 0.001601 0.002086
228 0.183628  4.383 0.001621 0.002132
229 0.185557  5.844 0.001664 0.002150
230 0.184543  5.844 0.001689 0.002166
231 0.187912  4.383 0.001703 0.002197
232 0.186847  5.357 0.001678 0.002189
233 0.195601  4.870 0.001696 0.002310
234 0.188443  3.896 0.001750 0.002249
235 0.189385  5.357 0.001702 0.002270
236 0.189528  5.357 0.001744 0.002301
237 0.191106  5.844 0.001730 0.002342
238 0.195952  4.870 0.001775 0.002335
239 0.194305  4.870 0.001767 0.002452
240 0.193650  4.870 0.001855 0.002328
241 0.194459  4.870 0.001855 0.002823
242 0.195067  5.844 0.001834 0.002499
243 0.196484  4.870 0.001862 0.002399
244 0.196491  5.844 0.002011 0.002474
245 0.197863  4.870 0.001908 0.002452
246 0.198306  4.870 0.001906 0.002605
247 0.200409  5.357 0.001961 0.002575
248 0.200287  4.870 0.002020 0.002576
249 0.202818  4.870 0.001967 0.002656
250 0.200797  5.357 0.001960 0.002713
251 0.206272  4.383 0.001957 0.002691
252 0.203886  5.357 0.001997 0.002690
253 0.206001  6.818 0.001986 0.002727
254 0.204027  5.357 0.002030 0.002794
255 0.219498  5.357 0.002010 0.002763
256 0.206161  4.870 0.002072 0.002848
257 0.235082  5.357 0.002058 0.002874
258 0.208133  5.844 0.002185 0.002824
259 0.210097  4.870 0.002134 0.002908
260 0.210068  4.383 0.002136 0.002967
261 0.211534  5.357 0.002175 0.002958
262 0.216235  5.357 0.002169 0.003023
263 0.213694  5.357 0.002235 0.003044
264 0.212526  4.870 0.002206 0.003022
265 0.214721  5.844 0.002215 0.003114
266 0.214366  5.844 0.002244 0.003083
267 0.214890  4.383 0.002308 0.003114
268 0.215483  5.844 0.002337 0.003220
269 0.217595  6.331 0.002343 0.003130
270 0.218463  5.357 0.002366 0.003195
271 0.219045  5.844 0.002473 0.003246
272 0.218829  5.844 0.002349 0.003327
273 0.220389  5.844 0.002411 0.003335
274 0.221791  6.331 0.002425 0.003448
275 0.221922  5.844 0.002450 0.003331
276 0.221689  5.357 0.002458 0.003440
277 0.223460  6.331 0.002441 0.003451
278 0.224114  6.331 0.002510 0.003686
279 0.225573  5.844 0.002703 0.004156
280 0.232279  5.844 0.002541 0.003456
281 0.227319  5.844 0.002562 0.003585
282 0.227889  5.357 0.002576 0.003551
283 0.229066  5.357 0.002602 0.003702
284 0.233480  4.870 0.002608 0.003612
285 0.230817  5.357 0.002635 0.003670
286 0.231237  5.357 0.002583 0.003783
287 0.232343  5.357 0.002640 0.003821
288 0.231564  7.305 0.002915 0.005662
289 0.231945  5.357 0.002673 0.003904
290 0.232679  5.844 0.002705 0.003935
291 0.234492  6.331 0.002711 0.004033
292 0.233689  5.844 0.002748 0.003967
293 0.235726  6.818 0.002747 0.003917
294 0.234945  4.870 0.002782 0.003925
295 0.238114  6.818 0.002843 0.004045
296 0.237176  4.870 0.002821 0.004120
297 0.237646  5.357 0.002830 0.004168
298 0.237355  5.844 0.002848 0.004125
299 0.237966  5.844 0.002979 0.004112
300 0.250636  7.792 0.002956 0.004819
301 0.241915  6.331 0.003030 0.004204
302 0.239972  7.305 0.002912 0.004393
303 0.242292  6.818 0.002999 0.004376
304 0.240870  7.792 0.002973 0.004364
305 0.245772  6.818 0.003044 0.004360
306 0.244033  6.331 0.002963 0.004415
307 0.249514  6.331 0.003031 0.004522
308 0.245450  6.331 0.003053 0.004434
309 0.246460  6.331 0.003065 0.004505
310 0.246177  6.818 0.003069 0.004593
311 0.248258  6.818 0.003188 0.004554
312 0.247849  6.331 0.003100 0.004626
313 0.249002  7.305 0.003189 0.004622
314 0.249246  7.305 0.003193 0.004659
315 0.251611  7.305 0.003174 0.004738
316 0.250563  7.305 0.003235 0.004742
317 0.252557  7.305 0.003221 0.004871
318 0.252441  7.305 0.003260 0.004803
319 0.253878  7.305 0.003384 0.004816
320 0.266743  6.818 0.003256 0.004937
321 0.256016  6.818 0.003403 0.004913
322 0.255323  7.305 0.003336 0.004983
323 0.257542  6.818 0.003381 0.005022
324 0.261627  7.792 0.003334 0.005021
325 0.257758  6.818 0.003383 0.005360
326 0.259368  6.818 0.003422 0.005097
327 0.259615  6.818 0.003404 0.005256
328 0.259653  7.792 0.003412 0.005305
329 0.260887  7.305 0.003449 0.005279
330 0.261434  7.305 0.003482 0.005201
331 0.262978  6.818 0.003459 0.005372
332 0.262853  7.305 0.003538 0.005413
333 0.262361  6.818 0.003504 0.005478
334 0.263274  5.844 0.003569 0.005351
335 0.264256  7.792 0.003561 0.005452
336 0.264745  7.305 0.003559 0.005613
337 0.265294  7.305 0.003569 0.005538
338 0.279643  7.305 0.003655 0.006262
339 0.266518  6.818 0.003627 0.005566
340 0.266347  7.792 0.003678 0.005758
341 0.269262  7.792 0.003627 0.005750
342 0.274286  6.331 0.003836 0.005891
343 0.269069  6.818 0.003672 0.005925
344 0.272684  7.305 0.003772 0.005858
345 0.272939  6.818 0.003748 0.005797
346 0.272223  7.305 0.003802 0.005878
347 0.273219  6.818 0.003807 0.006013
348 0.275913  7.792 0.003856 0.005939
349 0.276619  7.305 0.003835 0.006105
350 0.275311  7.305 0.003933 0.006298
351 0.277690  6.331 0.003869 0.006199
352 0.279173  6.818 0.003946 0.006092
353 0.278814  7.305 0.003921 0.006172
354 0.308387  6.818 0.003986 0.006206
355 0.280753  7.305 0.003958 0.006192
356 0.292884  6.818 0.003994 0.006295
357 0.280717  6.818 0.004024 0.006401
358 0.285094  6.818 0.004079 0.006445
359 0.289264  6.818 0.004027 0.006440
360 0.283976  7.792 0.004092 0.006495
361 0.312938  6.818 0.004085 0.006686
362 0.286256  7.305 0.004148 0.006532
363 0.285463  6.818 0.004140 0.006694
364 0.287487  6.818 0.004211 0.006906
365 0.289177  8.279 0.004194 0.006649
366 0.289236  7.305 0.004218 0.006709
367 0.288870  6.331 0.004225 0.006847
368 0.326959  6.331 0.004266 0.006788
369 0.290891  7.305 0.004282 0.006979
370 0.291452  7.305 0.004460 0.006848
371 0.291170  7.305 0.004314 0.006873
372 0.308519  7.305 0.004348 0.006936
373 0.295101  6.818 0.004368 0.007166
374 0.294324  6.818 0.004456 0.007162
375 0.295465  7.792 0.004415 0.007033
376 0.299048  7.305 0.004434 0.007125
377 0.296419  7.305 0.004477 0.007164
378 0.303137  7.792 0.004624 0.007308
379 0.299220  6.818 0.004505 0.007397
380 0.298002  6.331 0.004521 0.007296
381 0.298845  7.792 0.004569 0.007371
382 0.298719  7.305 0.004557 0.007535
383 0.300091  7.305 0.004604 0.007387
384 0.304157  7.305 0.004633 0.007460
385 0.300509  7.305 0.004656 0.007543
386 0.301668  7.305 0.004639 0.007617
387 0.303280  6.818 0.004680 0.007633
388 0.346174  7.792 0.004880 0.007630
