# .test .cputime .temperature .time_mat1 .time_mat2
151 0.117541  2.435 0.000694 0.000873
152 0.117633  2.922 0.000729 0.000886
153 0.119614  2.435 0.000713 0.000954
154 0.119743  3.409 0.000745 0.000909
155 0.121129  3.409 0.000771 0.000924
156 0.121933  2.922 0.000769 0.001041
157 0.138083  2.922 0.000750 0.000945
158 0.122536  3.409 0.000786 0.000959
159 0.124196  2.922 0.000826 0.000998
160 0.123778  2.922 0.000800 0.000982
161 0.125901  3.409 0.000805 0.001044
162 0.126250  3.896 0.000820 0.001057
163 0.129279  2.435 0.000829 0.001103
164 0.127076  3.409 0.000841 0.001032
165 0.133541  2.435 0.000849 0.001044
166 0.130300  2.435 0.000859 0.001057
167 0.129939  2.435 0.000867 0.001099
168 0.131282  2.922 0.000945 0.001085
169 0.131479  3.896 0.000957 0.001094
170 0.133145  2.922 0.000902 0.001108
171 0.134853  3.409 0.000910 0.001210
172 0.135163  1.948 0.000920 0.001167
173 0.134760  3.409 0.000934 0.001179
174 0.135381  4.383 0.000996 0.001163
175 0.138879  2.922 0.000954 0.001207
176 0.138389  2.922 0.000963 0.001257
177 0.140514  3.896 0.000977 0.001236
178 0.138952  4.383 0.001040 0.001254
179 0.141805  4.383 0.001000 0.001230
180 0.141848  4.383 0.001005 0.001281
181 0.142291  3.409 0.001023 0.001296
182 0.147138  3.896 0.001030 0.001275
183 0.145788  3.409 0.001043 0.001292
184 0.145310  3.896 0.001032 0.001304
185 0.145053  2.922 0.001070 0.001317
186 0.146526  3.409 0.001055 0.001395
187 0.146827  4.870 0.001150 0.001349
188 0.150105  3.896 0.001077 0.001365
189 0.149143  3.896 0.001118 0.001389
190 0.149170  3.409 0.001103 0.001398
191 0.154666  4.383 0.001205 0.001419
192 0.163100  2.922 0.001204 0.001856
193 0.153517  3.409 0.001254 0.001486
194 0.151876  2.922 0.001150 0.001501
195 0.152427  3.896 0.001237 0.001516
196 0.155745  3.409 0.001173 0.001492
197 0.155366  3.409 0.001254 0.001509
198 0.157820  3.896 0.001195 0.001523
199 0.161621  4.383 0.001235 0.001684
200 0.157477  3.896 0.001220 0.001649
201 0.159120  4.383 0.001260 0.001576
202 0.158529  4.383 0.001283 0.001598
203 0.161001  3.896 0.001379 0.001609
204 0.162734  3.409 0.001270 0.001670
205 0.162899  5.357 0.001315 0.001639
206 0.163824  2.922 0.001333 0.001707
207 0.164579  2.922 0.001381 0.001682
208 0.165013  4.383 0.001321 0.001694
209 0.168044  3.409 0.001390 0.001715
210 0.189506  4.870 0.001352 0.001839
211 0.174378  4.870 0.001565 0.001766
212 0.169440  4.870 0.001395 0.001829
213 0.170569  4.383 0.001449 0.001790
214 0.169808  4.383 0.001419 0.001864
215 0.172551  3.896 0.001440 0.001948
216 0.171751  4.383 0.001446 0.001964
217 0.172036  4.383 0.001468 0.001909
218 0.173633  3.896 0.001511 0.001937
219 0.173695  2.922 0.001494 0.002004
220 0.174419  4.870 0.001543 0.002433
221 0.175788  4.383 0.001615 0.001996
222 0.187726  4.383 0.001611 0.002009
